contestId,index,solvedCount
1994,E,4613
1994,D,5896
1994,C,11068
1994,B,16984
1994,A,20518
1993,F2,425
1993,F1,1018
1993,E,566
1993,D,3821
1993,C,13911
1993,B,23294
1993,A,29946
1992,G,3223
1992,F,5872
1992,E,9334
1992,D,20861
1992,C,29643
1992,B,34749
1992,A,42313
1991,I,135
1991,H,512
1991,G,622
1991,F,2406
1991,E,4317
1991,D,6792
1991,C,14978
1991,B,16745
1991,A,22164
1990,F,308
1990,E2,892
1990,E1,952
1990,D,6437
1990,C,11943
1990,B,16929
1990,A,23206
1989,F,462
1989,E,2033
1989,D,6099
1989,C,18996
1989,B,20560
1989,A,26765
1988,F,222
1988,E,1472
1988,D,5054
1988,C,17100
1988,B,23218
1988,A,23761
1987,H,109
1987,G2,174
1987,G1,279
1987,F2,1060
1987,F1,1154
1987,E,3470
1987,D,7302
1987,C,17753
1987,B,20889
1987,A,25793
1986,G2,1131
1986,G1,1543
1986,F,4718
1986,E,9028
1986,D,15511
1986,C,23211
1986,B,27038
1986,A,41686
1985,H2,1567
1985,H1,5768
1985,G,9704
1985,F,15825
1985,E,20434
1985,D,35582
1985,C,33363
1985,B,47774
1985,A,56266
1984,H,172
1984,G,262
1984,F,962
1984,E,1450
1984,D,3350
1984,C2,7576
1984,C1,17105
1984,B,18693
1984,A,21472
1983,G,218
1983,F,1242
1983,E,2071
1983,D,8423
1983,C,12812
1983,B,16431
1983,A,26181
1982,F,979
1982,E,1628
1982,D,7336
1982,C,18194
1982,B,17236
1982,A,25504
1981,F,282
1981,E,940
1981,D,1723
1981,C,5454
1981,B,14037
1981,A,22646
1980,G,1296
1980,F2,1034
1980,F1,3827
1980,E,10805
1980,D,14653
1980,C,18943
1980,B,35226
1980,A,41613
1979,F,330
1979,E,1493
1979,D,6761
1979,C,19175
1979,B,23102
1979,A,29406
1978,F,1372
1978,E,3909
1978,D,11568
1978,C,15276
1978,B,22754
1978,A,26096
1977,E,710
1977,D,1912
1977,C,6878
1977,B,17945
1977,A,34013
1976,F,606
1976,E,1077
1976,D,4724
1976,C,10605
1976,B,22609
1976,A,29213
1975,I,107
1975,H,124
1975,G,244
1975,F,855
1975,E,2383
1975,D,6187
1975,C,14897
1975,B,18265
1975,A,19038
1974,G,4474
1974,F,3655
1974,E,8252
1974,D,15156
1974,C,16069
1974,B,30913
1974,A,33792
1973,F,242
1973,E,830
1973,D,1959
1973,C,8535
1973,B,14360
1973,A,25076
1972,B,22258
1972,A,23354
1971,H,1918
1971,G,9512
1971,F,10340
1971,E,14758
1971,D,26496
1971,C,34214
1971,B,37947
1971,A,47295
1970,G3,372
1970,G2,621
1970,G1,1404
1970,F3,372
1970,F2,355
1970,F1,435
1970,E3,796
1970,E2,1367
1970,E1,2350
1970,D3,113
1970,D2,218
1970,D1,685
1970,C3,1661
1970,C2,2937
1970,C1,3646
1970,B3,504
1970,B2,854
1970,B1,1201
1970,A3,512
1970,A2,474
1970,A1,5216
1969,F,289
1969,E,1455
1969,D,4744
1969,C,9066
1969,B,19494
1969,A,20293
1968,G2,2015
1968,G1,4381
1968,F,5651
1968,E,10674
1968,D,15201
1968,C,25554
1968,B,28319
1968,A,35224
1967,F,72
1967,E2,107
1967,E1,220
1967,D,690
1967,C,1808
1967,B2,4012
1967,B1,13609
1967,A,12781
1966,B,15251
1966,A,18102
1965,F,195
1965,E,314
1965,D,438
1965,C,2005
1965,B,6900
1965,A,14048
1958,J,36
1958,I,37
1958,H,81
1958,G,113
1958,F,207
1958,E,275
1958,D,547
1958,C,755
1958,B,927
1958,A,2048
1957,F2,452
1957,F1,512
1957,E,1312
1957,D,4616
1957,C,9917
